subject,kcal,x.mean,x.sd,x.cv,x.p10,x.p25,x.p50,x.p75,x.p90,x.skew,x.kurt,x.max,x.min,x.p2p,x.median,x.sum,x.mad,x.power,x.ACF,x.logen,x.iqr,x.vari,x.zeroc,x.Fas,x.Fan,x.FM,x.Faid,x.Fmax_0.25.5hz,x.FMmax_0.25.5hz,y.mean,y.sd,y.cv,y.p10,y.p25,y.p50,y.p75,y.p90,y.skew,y.kurt,y.max,y.min,y.p2p,y.median,y.sum,y.mad,y.power,y.ACF,y.logen,y.iqr,y.vari,y.zeroc,y.Fas,y.Fan,y.FM,y.Faid,y.Fmax_0.25.5hz,y.FMmax_0.25.5hz,z.mean,z.sd,z.cv,z.p10,z.p25,z.p50,z.p75,z.p90,z.skew,z.kurt,z.max,z.min,z.p2p,z.median,z.sum,z.mad,z.power,z.ACF,z.logen,z.iqr,z.vari,z.zeroc,z.Fas,z.Fan,z.FM,z.Faid,z.Fmax_0.25.5hz,z.FMmax_0.25.5hz,vm.mean,vm.sd,vm.cv,vm.p10,vm.p25,vm.p50,vm.p75,vm.p90,vm.skew,vm.kurt,vm.max,vm.min,vm.p2p,vm.median,vm.sum,vm.mad,vm.power,vm.ACF,vm.logen,vm.iqr,vm.vari,vm.zeroc,vm.Fas,vm.Fan,vm.FM,vm.Faid,vm.Fmax_0.25.5hz,vm.FMmax_0.25.5hz,xy,xz,yz
sample,2.217,0.608,0.318,0.523,0.336,0.465,0.57,0.707,0.961,1.039,8.895,2.707,-1.215,3.922,74,608.064,0.173,470.91,0.928,-1215.669,0.242,0.101,4,0.587,42.565,0.023,51.425,1.5,0.108,0.72,0.271,0.376,0.445,0.608,0.734,0.852,0.988,-0.376,4.588,2.16,-0.523,2.683,69,719.826,0.179,591.462,0.942,#NAME?,0.244,0.073,6,0.455,81.259,0.012,13.88,3.4,0.094,-0.161,0.229,-1.429,-0.352,-0.289,-0.199,-0.031,0.09,0.427,3.783,0.957,-1.504,2.461,67,-160.508,0.163,78.354,0.918,#NAME?,0.258,0.053,46,0.665,3.009,0.332,116.673,1.9,0.06,1.037,0.256,0.247,0.834,0.926,0.983,1.078,1.324,2.209,8.986,2.709,0.179,2.53,104,1036.997,0.106,1140.726,0.913,20.34,0.153,0.065,0,0.147,211.364,0.005,4.791,2,0.085,-0.377,0.073,0.055
sample,4.133,0.437,0.99,2.268,-0.473,-0.064,0.346,0.86,1.617,0.466,2.419,4.348,-2.719,7.067,63,436.782,0.672,1170.744,0.97,#NAME?,0.924,0.981,47,0.591,38.939,0.026,37.395,1.7,0.409,1.123,0.966,0.861,0.258,0.562,0.98,1.492,2.141,1.743,6.053,6.465,-0.965,7.43,70,1122.765,0.666,2193.254,0.968,-209.176,0.93,0.934,19,0.507,102.497,0.01,12.177,2.1,0.365,-0.024,0.515,-21.212,-0.582,-0.359,-0.082,0.274,0.606,0.628,1.317,1.891,-1.637,3.528,62,-24.287,0.458,265.73,0.964,#NAME?,0.633,0.265,68,0.643,15.544,0.064,122.293,1.7,0.197,1.604,1.029,0.641,0.681,0.948,1.299,1.965,2.899,2.077,5.992,7.34,0.23,7.109,72,1603.939,0.663,3629.728,0.976,619.463,1.017,1.058,0,0.483,107.735,0.009,18.335,2.1,0.364,-0.002,-0.189,0.246
sample,1.733,0.594,0.255,0.429,0.324,0.387,0.512,0.81,0.949,0.432,-0.695,1.348,-0.004,1.352,21,593.977,0.267,417.598,0.992,-1258.942,0.423,0.065,2,0.502,33.865,0.03,133.085,0.3,0.066,0.58,0.392,0.677,-0.015,0.324,0.746,0.871,0.953,-0.986,0.2,1.211,-0.602,1.813,20,579.899,0.301,490.128,0.995,-1221.331,0.547,0.154,8,0.411,34.036,0.029,78.618,0.3,0.158,0.096,0.358,3.732,-0.332,-0.211,-0.039,0.384,0.621,0.507,-0.831,1.043,-0.383,1.426,9,95.814,0.397,136.91,0.995,-2919.751,0.595,0.128,3,0.646,4.644,0.215,224.158,0.3,0.138,1.014,0.127,0.125,0.898,0.945,0.991,1.072,1.172,0.335,2.725,1.544,0.459,1.085,63,1014.185,0.091,1044.636,0.958,12.173,0.127,0.016,0,0.065,229.592,0.004,3.502,1.7,0.053,-0.773,0.715,-0.661
sample,0.617,0.455,0.042,0.091,0.41,0.449,0.461,0.473,0.488,-1.231,3.967,0.609,0.285,0.324,76,455.183,0.018,208.913,0.963,-1583.336,0.024,0.002,0,0.665,1.503,0.665,0,0.3,0.018,0.665,0.085,0.128,0.516,0.609,0.711,0.727,0.738,-0.906,-0.792,0.797,0.496,0.301,46,664.594,0.04,448.934,0.993,-835.196,0.118,0.007,0,0.665,1.503,0.665,0,0.6,0.017,0.584,0.099,0.169,0.484,0.504,0.535,0.684,0.742,0.546,-1.276,0.785,0.363,0.422,16,583.844,0.076,350.599,0.994,-1103.652,0.18,0.01,0,0.665,1.505,0.665,0,0.4,0.019,1.004,0.021,0.021,0.983,0.993,1.003,1.014,1.026,0.523,13,1.164,0.847,0.317,119,1003.994,0.016,1008.446,0.874,7.537,0.021,0,0,0,0,0,0,1.5,0.005,-0.181,-0.109,-0.895
sample,0.883,0.887,0.04,0.046,0.84,0.867,0.895,0.902,0.926,-0.077,2.101,1.082,0.75,0.332,119,887.086,0.022,788.555,0.931,-241.718,0.035,0.002,0,0.021,338.71,0.003,3.69,0.3,0.015,0.432,0.051,0.119,0.383,0.41,0.426,0.453,0.504,-0.593,2,0.559,0.238,0.321,51,431.966,0.03,189.225,0.989,-1694.232,0.043,0.003,0,0.665,1.503,0.665,0,0.3,0.034,0.104,0.081,0.776,-0.02,0.07,0.109,0.164,0.195,-1.007,0.844,0.262,-0.188,0.45,42,104.026,0.076,17.328,0.993,#NAME?,0.094,0.007,8,0.665,1.503,0.665,0,0.3,0.038,0.997,0.027,0.027,0.967,0.991,0.998,1.003,1.019,0.928,7.068,1.189,0.888,0.3,201,997.187,0.01,995.108,0.879,-6.353,0.013,0.001,0,0,0,0,0,4.8,0.008,-0.679,-0.007,0.177
sample,2.067,-0.274,0.514,-1.88,-0.813,-0.727,-0.365,0.055,0.523,0.578,-0.82,1.07,-1.254,2.324,26,-273.705,0.559,339.343,0.991,#NAME?,0.782,0.265,30,0.653,6.129,0.163,276.949,0.3,0.174,-0.239,0.558,-2.33,-0.852,-0.695,-0.393,0.207,0.652,0.64,-0.728,1.34,-1.148,2.488,31,-239.238,0.582,367.731,0.993,#NAME?,0.902,0.311,9,0.641,7.796,0.128,379.177,0.4,0.255,-0.49,0.219,-0.448,-0.738,-0.602,-0.508,-0.352,-0.187,-0.331,1.019,0.035,-1.297,1.332,63,-489.588,0.173,287.734,0.982,-1728.646,0.25,0.048,4,0.666,1.502,0.666,0,0.4,0.081,0.99,0.124,0.125,0.869,0.936,0.982,1.034,1.106,1.359,7.35,1.855,0.613,1.242,149,989.649,0.073,994.807,0.912,-35.708,0.098,0.015,0,0.062,258.065,0.004,2.344,1.4,0.052,0.4,-0.197,-0.131
sample,2.917,0.692,0.726,1.048,-0.111,0.409,0.719,1.023,1.48,-0.84,3.163,2.902,-2.926,5.828,65,692.388,0.457,1005.863,0.961,#NAME?,0.614,0.527,24,0.509,78.637,0.013,22.406,3.7,0.323,0.541,0.944,1.747,-0.48,-0.148,0.545,0.988,1.578,0.983,2.786,5.281,-2.145,7.426,50,540.758,0.869,1183.528,0.964,#NAME?,1.136,0.892,32,0.545,60.588,0.017,37.384,3.7,0.46,0,0.558,1387.695,-0.715,-0.316,-0.01,0.227,0.664,1.22,3.927,2.895,-1.371,4.266,64,0.402,0.402,310.889,0.969,#NAME?,0.543,0.311,65,0.637,18.828,0.053,101.699,0.5,0.249,1.389,0.756,0.544,0.813,0.952,1.117,1.543,2.346,2.231,6.025,5.548,0.246,5.302,87,1388.947,0.336,2500.281,0.946,443.077,0.591,0.572,0,0.345,153.475,0.007,10.369,3.7,0.284,0.063,0.235,0.278
sample,1.55,0.195,0.181,0.93,-0.039,0.113,0.205,0.305,0.387,-0.545,1.966,0.75,-0.738,1.488,68,194.596,0.148,70.595,0.96,#NAME?,0.192,0.033,42,0.665,1.503,0.665,0,1.4,0.071,0.98,0.212,0.216,0.75,0.862,0.961,1.055,1.242,1.24,3.647,2.188,0.453,1.735,87,980.186,0.145,1005.606,0.926,-83.466,0.193,0.045,0,0.192,203.125,0.005,5.304,2.1,0.072,0.015,0.181,12.489,-0.191,-0.071,-0.008,0.103,0.242,0.166,2.286,0.625,-0.848,1.473,74,14.514,0.133,33.033,0.965,#NAME?,0.174,0.033,71,0.665,1.503,0.665,0,0.9,0.104,1.032,0.209,0.202,0.817,0.908,0.993,1.112,1.278,1.506,4.178,2.279,0.607,1.672,84,1032.328,0.141,1109.234,0.94,27.128,0.203,0.044,0,0.161,241.736,0.004,3.981,2.1,0.076,-0.218,0.047,0.126
sample,1.933,0.067,0.533,7.901,-0.602,-0.379,0.057,0.52,0.738,0.032,-0.336,1.832,-1.746,3.578,85,67.494,0.675,288.616,0.881,#NAME?,0.899,0.284,88,0.627,19.149,0.052,96.898,0.6,0.144,0.264,0.581,2.203,-0.465,-0.137,0.336,0.643,0.813,0.118,2.111,2.945,-2.25,5.195,77,263.687,0.544,406.698,0.801,#NAME?,0.78,0.338,66,0.631,30.127,0.033,71.328,0.8,0.161,-0.483,0.855,-1.771,-1.286,-0.832,-0.652,-0.437,0.771,1.382,2.687,2.742,-2.73,5.472,108,-483.028,0.301,964.278,0.874,#NAME?,0.395,0.732,49,0.651,10.758,0.093,120.055,2.7,0.359,1.182,0.513,0.435,0.732,0.923,1.003,1.353,1.955,1.391,2.419,3.939,0.036,3.903,108,1181.632,0.249,1659.593,0.825,154.847,0.43,0.264,0,0.317,126.05,0.008,10.007,1.6,0.137,0.353,-0.281,-0.3
sample,1.317,0.765,0.05,0.065,0.719,0.746,0.762,0.781,0.82,0.921,4.228,0.992,0.59,0.402,108,765.419,0.028,588.377,0.954,-538.837,0.035,0.003,0,0.571,33.256,0.03,105.86,0.5,0.014,0.557,0.051,0.091,0.484,0.527,0.578,0.59,0.602,-1.093,1.116,0.676,0.344,0.332,70,557.485,0.03,313.35,0.969,-1177.597,0.063,0.003,0,0.665,1.503,0.665,0,0.3,0.018,-0.24,0.08,-0.335,-0.359,-0.309,-0.215,-0.195,-0.168,-0.237,0.264,0.035,-0.457,0.492,51,-239.852,0.052,63.968,0.987,#NAME?,0.114,0.006,3,0.666,1.502,0.666,0,1.2,0.021,0.982,0.026,0.026,0.955,0.972,0.982,0.99,1.008,0.355,4.222,1.091,0.862,0.229,190,982.361,0.013,965.695,0.876,-36.275,0.018,0.001,0,0,0,0,0,2.3,0.007,-0.555,0.407,0.249
sample,3.783,0.766,1.058,1.381,-0.422,0.241,0.773,1.23,1.977,0.282,2.335,5.918,-2.895,8.813,59,766.004,0.741,1705.457,0.968,#NAME?,0.989,1.12,34,0.523,76.531,0.013,22.496,1.9,0.472,0.749,1.231,1.644,-0.816,-0.117,0.654,1.345,2.42,0.687,0.618,5.336,-1.762,7.098,55,748.544,1.075,2073.076,0.975,#NAME?,1.462,1.514,32,0.582,53.265,0.019,31.088,1.9,0.479,-0.025,0.568,-22.971,-0.656,-0.36,-0.025,0.349,0.641,-0.191,2.723,3.113,-3.207,6.32,59,-24.728,0.531,322.942,0.963,#NAME?,0.709,0.323,62,0.643,13.99,0.071,82.469,0.3,0.197,1.751,1.018,0.581,0.819,1.056,1.423,2.157,3.088,1.796,4.311,7.324,0.333,6.991,60,1751.128,0.669,4101.476,0.962,844.837,1.102,1.036,0,0.489,77.763,0.013,25.492,0.4,0.366,0.071,0.086,-0.309
sample,3.433,0.225,0.181,0.805,0.129,0.168,0.207,0.23,0.262,5.918,40.194,1.738,-0.02,1.758,51,224.784,0.046,83.247,0.982,-3277.072,0.062,0.033,2,0.663,3.015,0.332,685.186,0.4,0.065,0.968,0.052,0.054,0.93,0.953,0.969,0.984,1.012,0.197,10.942,1.285,0.691,0.594,111,967.876,0.024,939.516,0.934,-68.258,0.031,0.003,0,0.012,416.667,0.002,2.608,2.6,0.017,0.022,0.054,2.423,-0.047,0.008,0.031,0.047,0.059,-0.088,5.666,0.293,-0.191,0.484,58,22.455,0.028,3.461,0.979,#NAME?,0.039,0.003,30,0.665,1.503,0.665,0,1.2,0.019,1.006,0.115,0.114,0.956,0.979,0.991,1.007,1.029,6.155,42.684,1.927,0.768,1.159,124,1006.476,0.021,1026.224,0.973,3.64,0.029,0.013,0,0.016,250,0.004,8.042,0.8,0.034,-0.031,0.089,-0.218
sample,1.283,0.8,0.091,0.113,0.691,0.746,0.805,0.855,0.906,-0.043,0.702,1.133,0.5,0.633,72,800.422,0.082,648.916,0.963,-458.464,0.109,0.008,0,0.318,103.774,0.01,28.079,0.3,0.043,0.511,0.153,0.299,0.383,0.441,0.5,0.566,0.664,0.404,4.816,1.219,-0.215,1.434,62,511.175,0.093,284.659,0.954,-1436.316,0.125,0.023,4,0.634,14.196,0.07,224.453,0.3,0.092,0.233,0.141,0.604,0.039,0.109,0.246,0.34,0.41,-0.135,-0.761,0.594,-0.113,0.707,40,232.592,0.157,73.823,0.986,#NAME?,0.231,0.02,15,0.665,1.503,0.665,0,2.4,0.044,0.999,0.098,0.098,0.912,0.956,0.994,1.038,1.082,0.725,6.428,1.537,0.601,0.936,101,998.944,0.061,1007.398,0.935,-11.593,0.082,0.01,0,0.037,321.429,0.003,3.447,2.1,0.037,-0.222,-0.1,-0.06
sample,2.3,0.298,0.332,1.113,-0.332,0.293,0.434,0.504,0.555,-1.428,0.815,1.141,-0.844,1.985,43,297.896,0.128,198.564,0.981,-1883.342,0.211,0.11,8,0.665,3.009,0.332,344.361,0.3,0.16,0.882,0.137,0.155,0.77,0.805,0.871,0.938,1.008,-1.813,28.812,1.461,-0.699,2.16,68,882.416,0.099,797.272,0.888,-262.516,0.133,0.019,2,0.167,216,0.005,5.149,3.5,0.041,-0.031,0.133,-4.251,-0.141,-0.082,-0.039,-0.004,0.121,0.406,9.144,1.059,-0.688,1.747,54,-31.337,0.058,18.71,0.908,#NAME?,0.078,0.018,33,0.665,1.503,0.665,0,0.3,0.055,1.002,0.107,0.107,0.898,0.945,0.99,1.039,1.119,1.335,4.72,1.578,0.676,0.902,92,1001.52,0.07,1014.546,0.91,-7.748,0.095,0.012,0,0.047,300,0.003,2.855,3.5,0.029,-0.402,-0.329,-0.034
sample,2.15,0.557,0.356,0.638,0.141,0.32,0.535,0.77,1.023,0.354,0.386,1.859,-0.52,2.379,54,557.227,0.335,436.796,0.974,#NAME?,0.45,0.126,16,0.543,38.65,0.026,44.83,0.3,0.175,0.562,0.562,1,-0.316,0.129,0.721,0.961,1.121,-0.563,-0.242,2.195,-0.887,3.082,48,561.612,0.443,630.382,0.984,-1218.36,0.832,0.315,17,0.44,79.545,0.013,41.354,0.3,0.427,0.038,0.328,8.614,-0.289,-0.16,-0.014,0.146,0.508,0.674,4.303,1.492,-2.199,3.691,59,38.098,0.224,109.042,0.931,#NAME?,0.306,0.108,57,0.651,10.747,0.093,319.415,0.4,0.153,1.048,0.28,0.267,0.745,0.853,1.012,1.181,1.372,1.488,4.161,2.489,0.376,2.114,82,1047.836,0.242,1176.22,0.939,29.793,0.327,0.078,0,0.252,210.317,0.005,4.883,2.4,0.118,-0.504,0.266,-0.289
sample,1.95,0.564,0.509,0.902,0.176,0.32,0.51,0.707,0.977,1.32,5.526,3.168,-1.57,4.738,43,564.064,0.288,576.566,0.958,-1451.957,0.387,0.259,16,0.6,28.333,0.035,56.433,1.6,0.223,0.788,0.629,0.798,0.101,0.48,0.797,0.957,1.309,1.947,8.589,5.043,-1.145,6.188,46,787.93,0.383,1015.912,0.963,-1000.189,0.477,0.395,16,0.415,65.113,0.015,38.797,2.9,0.24,-0.058,0.413,-7.132,-0.535,-0.266,-0.098,0.148,0.434,0.857,2.091,1.898,-1.125,3.023,40,-57.855,0.337,173.433,0.978,#NAME?,0.414,0.17,36,0.645,9.298,0.108,238.191,2.1,0.088,1.185,0.602,0.508,0.753,0.922,1.006,1.204,1.833,2.679,8.789,5.262,0.242,5.02,59,1185.099,0.179,1765.911,0.966,164.444,0.282,0.362,0,0.257,112.987,0.009,13.453,2.9,0.212,-0.159,0.236,0.442
sample,1.017,0.23,0.586,2.543,-0.629,0.063,0.254,0.603,0.814,-1.234,2.598,1.625,-2.297,3.922,43,230.391,0.423,395.881,0.981,#NAME?,0.54,0.343,23,0.606,16.502,0.061,132.598,0.3,0.311,0.732,0.495,0.676,-0.009,0.558,0.797,0.988,1.126,0.027,2.243,2.863,-1.074,3.937,42,731.819,0.313,779.945,0.975,#NAME?,0.43,0.245,18,0.383,86.087,0.012,24.751,0.5,0.287,-0.22,0.344,-1.561,-0.672,-0.406,-0.137,0,0.094,-1.012,2.456,0.867,-2.043,2.91,35,-220.459,0.249,166.909,0.963,#NAME?,0.406,0.118,42,0.665,1.503,0.665,0,0.3,0.191,1.099,0.369,0.336,0.83,0.922,1.009,1.158,1.489,2.289,7.244,2.904,0.223,2.68,71,1098.55,0.159,1342.735,0.961,97.608,0.237,0.136,0,0.197,182.432,0.005,7.739,0.5,0.115,-0.336,-0.114,0.432
sample,3.833,0.75,1.473,1.964,-1.064,0.167,0.83,1.645,2.44,-0.766,1.633,5.211,-5.141,10.352,72,749.868,1.115,2729.085,0.965,-128.68,1.478,2.169,48,0.587,61.364,0.016,16.389,1.9,0.931,1.113,1.286,1.156,-0.395,0.171,0.895,1.939,2.844,0.634,0.223,6.742,-1.773,8.515,65,1113.143,1.25,2891.892,0.961,#NAME?,1.768,1.654,54,0.596,52.013,0.019,21.497,3.7,0.643,-0.136,0.813,-5.959,-1.138,-0.629,-0.141,0.289,0.949,0.038,0.426,2.426,-2.668,5.094,72,-136.405,0.678,678.54,0.954,#NAME?,0.918,0.661,76,0.629,30.191,0.033,50.782,2.3,0.264,2.201,1.206,0.548,0.854,1.21,2.027,2.845,4.005,0.841,0.542,7.25,0.08,7.17,68,2201.49,1.214,6299.517,0.957,1246.858,1.635,1.454,0,0.563,42.654,0.023,46.401,3.7,0.42,0.014,-0.055,-0.093
sample,1.833,0.426,0.214,0.501,0.175,0.316,0.426,0.605,0.633,-0.682,1.289,1.223,-0.484,1.707,23,426.25,0.237,227.317,0.971,-1950.96,0.289,0.046,16,0.652,9.202,0.109,198.978,0.4,0.083,0.838,0.163,0.194,0.699,0.719,0.832,0.887,0.977,2.579,10.611,1.887,0.5,1.387,45,838.404,0.139,729.474,0.975,-383.268,0.168,0.027,0,0.309,61.555,0.016,73.243,2.9,0.052,-0.19,0.17,-0.892,-0.297,-0.246,-0.227,-0.172,-0.094,2.391,9.351,0.699,-0.82,1.519,34,-190.223,0.047,64.916,0.983,-3096.483,0.074,0.029,10,0.666,1.502,0.666,0,0.3,0.071,1.002,0.132,0.131,0.936,0.958,0.972,0.996,1.091,3.472,16.668,1.891,0.591,1.301,97,1002.186,0.025,1021.707,0.964,-9.551,0.038,0.017,0,0.049,226.027,0.004,5.143,2.9,0.04,-0.589,-0.362,0.237
sample,1.45,0.495,0.272,0.549,0.109,0.34,0.602,0.691,0.75,-1.064,0.879,1.227,-0.563,1.79,36,494.983,0.203,318.682,0.973,-1603.865,0.351,0.074,10,0.646,9.288,0.108,135.228,0.4,0.102,-0.53,0.255,-0.48,-0.777,-0.703,-0.641,-0.305,-0.164,1.173,2.295,1.137,-0.984,2.121,40,-530.226,0.171,345.886,0.974,#NAME?,0.398,0.065,9,0.666,1.502,0.666,0,0.5,0.095,-0.13,0.612,-4.703,-0.922,-0.855,0.211,0.406,0.508,-0.454,-1.134,0.66,-2.863,3.523,7,-130.118,0.452,391.07,0.989,-1519.546,1.261,0.375,1,0.666,1.502,0.666,0,0.3,0.156,1.02,0.127,0.124,0.94,0.976,1.01,1.055,1.104,9.714,166.922,3.316,0.53,2.786,85,1019.631,0.058,1055.638,0.682,28.106,0.079,0.016,0,0.021,328.125,0.003,3.994,3.6,0.029,-0.433,0.686,-0.8
